# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_001593665.2	Primary Assembly	chromosome		NZ_CP029373.1	56	1003	+						69631913	APS58_RS00005	948		old_locus_tag=APS58_0001
CDS	with_protein	GCF_001593665.2	Primary Assembly	chromosome		NZ_CP029373.1	56	1003	+	WP_011793846.1	WP_011793846.1		IS481-like element ISAav5 family transposase		69631913	APS58_RS00005	948	315	
gene	protein_coding	GCF_001593665.2	Primary Assembly	chromosome		NZ_CP029373.1	1000	1977	-						69631914	APS58_RS00010	978		old_locus_tag=APS58_0002
CDS	with_protein	GCF_001593665.2	Primary Assembly	chromosome		NZ_CP029373.1	1000	1977	-	WP_011795658.1	WP_011795658.1		asparaginase		69631914	APS58_RS00010	978	325	
gene	protein_coding	GCF_001593665.2	Primary Assembly	chromosome		NZ_CP029373.1	2083	2757	+					lexA	69631915	APS58_RS00015	675		old_locus_tag=APS58_0003
CDS	with_protein	GCF_001593665.2	Primary Assembly	chromosome		NZ_CP029373.1	2083	2757	+	WP_011795657.1	WP_011795657.1		transcriptional repressor LexA	lexA	69631915	APS58_RS00015	675	224	
gene	protein_coding	GCF_001593665.2	Primary Assembly	chromosome		NZ_CP029373.1	2946	3425	+						69636304	APS58_RS22590	480		old_locus_tag=APS58_0004
CDS	with_protein	GCF_001593665.2	Primary Assembly	chromosome		NZ_CP029373.1	2946	3425	+	WP_011795656.1	WP_011795656.1		hypothetical protein		69636304	APS58_RS22590	480	159	
gene	protein_coding	GCF_001593665.2	Primary Assembly	chromosome		NZ_CP029373.1	3468	7577	-					hrpA	69631916	APS58_RS00025	4110		old_locus_tag=APS58_0005
CDS	with_protein	GCF_001593665.2	Primary Assembly	chromosome		NZ_CP029373.1	3468	7577	-	WP_046059548.1	WP_046059548.1		ATP-dependent RNA helicase HrpA	hrpA	69631916	APS58_RS00025	4110	1369	
gene	protein_coding	GCF_001593665.2	Primary Assembly	chromosome		NZ_CP029373.1	8011	8253	+						69631917	APS58_RS00030	243		old_locus_tag=APS58_0006
CDS	with_protein	GCF_001593665.2	Primary Assembly	chromosome		NZ_CP029373.1	8011	8253	+	WP_011795654.1	WP_011795654.1		hypothetical protein		69631917	APS58_RS00030	243	80	
gene	protein_coding	GCF_001593665.2	Primary Assembly	chromosome		NZ_CP029373.1	8408	9712	+						69631918	APS58_RS00035	1305		old_locus_tag=APS58_0007
CDS	with_protein	GCF_001593665.2	Primary Assembly	chromosome		NZ_CP029373.1	8408	9712	+	WP_011795653.1	WP_011795653.1		FAD-dependent oxidoreductase		69631918	APS58_RS00035	1305	434	
gene	protein_coding	GCF_001593665.2	Primary Assembly	chromosome		NZ_CP029373.1	9804	11150	+					argA	69631919	APS58_RS00040	1347		old_locus_tag=APS58_0008
CDS	with_protein	GCF_001593665.2	Primary Assembly	chromosome		NZ_CP029373.1	9804	11150	+	WP_011795652.1	WP_011795652.1		amino-acid N-acetyltransferase	argA	69631919	APS58_RS00040	1347	448	
gene	protein_coding	GCF_001593665.2	Primary Assembly	chromosome		NZ_CP029373.1	11166	11999	-					bla	69631920	APS58_RS00045	834		old_locus_tag=APS58_0009
CDS	with_protein	GCF_001593665.2	Primary Assembly	chromosome		NZ_CP029373.1	11166	11999	-	WP_228194010.1	WP_228194010.1		class A beta-lactamase	bla	69631920	APS58_RS00045	834	277	
gene	protein_coding	GCF_001593665.2	Primary Assembly	chromosome		NZ_CP029373.1	12201	13106	+						69631921	APS58_RS00050	906		old_locus_tag=APS58_0010
CDS	with_protein	GCF_001593665.2	Primary Assembly	chromosome		NZ_CP029373.1	12201	13106	+	WP_061855851.1	WP_061855851.1		LysR family transcriptional regulator		69631921	APS58_RS00050	906	301	
gene	pseudogene	GCF_001593665.2	Primary Assembly	chromosome		NZ_CP029373.1	13132	14073	+						69636305	APS58_RS22595	942		partial;pseudo
CDS	without_protein	GCF_001593665.2	Primary Assembly	chromosome		NZ_CP029373.1	13132	14073	+				rhodanese-related sulfurtransferase		69636305	APS58_RS22595	942		partial;pseudo
gene	protein_coding	GCF_001593665.2	Primary Assembly	chromosome		NZ_CP029373.1	14191	14799	+						69636306	APS58_RS22600	609		
CDS	with_protein	GCF_001593665.2	Primary Assembly	chromosome		NZ_CP029373.1	14191	14799	+	WP_232521757.1	WP_232521757.1		glutathione S-transferase		69636306	APS58_RS22600	609	202	
gene	protein_coding	GCF_001593665.2	Primary Assembly	chromosome		NZ_CP029373.1	14803	15330	-						69631922	APS58_RS00060	528		old_locus_tag=APS58_0012
CDS	with_protein	GCF_001593665.2	Primary Assembly	chromosome		NZ_CP029373.1	14803	15330	-	WP_011795648.1	WP_011795648.1		disulfide bond formation protein B		69631922	APS58_RS00060	528	175	
gene	protein_coding	GCF_001593665.2	Primary Assembly	chromosome		NZ_CP029373.1	15391	16515	-						69631923	APS58_RS00065	1125		old_locus_tag=APS58_0013
CDS	with_protein	GCF_001593665.2	Primary Assembly	chromosome		NZ_CP029373.1	15391	16515	-	WP_011795647.1	WP_011795647.1		sulfate ABC transporter ATP-binding protein		69631923	APS58_RS00065	1125	374	
gene	protein_coding	GCF_001593665.2	Primary Assembly	chromosome		NZ_CP029373.1	16536	17489	-					cysW	69631924	APS58_RS00070	954		old_locus_tag=APS58_0014
CDS	with_protein	GCF_001593665.2	Primary Assembly	chromosome		NZ_CP029373.1	16536	17489	-	WP_048857578.1	WP_048857578.1		sulfate ABC transporter permease subunit CysW	cysW	69631924	APS58_RS00070	954	317	
gene	protein_coding	GCF_001593665.2	Primary Assembly	chromosome		NZ_CP029373.1	17506	18381	-					cysT	69631925	APS58_RS00075	876		old_locus_tag=APS58_0015
CDS	with_protein	GCF_001593665.2	Primary Assembly	chromosome		NZ_CP029373.1	17506	18381	-	WP_011795645.1	WP_011795645.1		sulfate ABC transporter permease subunit CysT	cysT	69631925	APS58_RS00075	876	291	
gene	protein_coding	GCF_001593665.2	Primary Assembly	chromosome		NZ_CP029373.1	18385	19398	-						69631926	APS58_RS00080	1014		old_locus_tag=APS58_0016
CDS	with_protein	GCF_001593665.2	Primary Assembly	chromosome		NZ_CP029373.1	18385	19398	-	WP_011795644.1	WP_011795644.1		sulfate ABC transporter substrate-binding protein		69631926	APS58_RS00080	1014	337	
gene	protein_coding	GCF_001593665.2	Primary Assembly	chromosome		NZ_CP029373.1	19526	20107	-						69631927	APS58_RS00085	582		old_locus_tag=APS58_0017
CDS	with_protein	GCF_001593665.2	Primary Assembly	chromosome		NZ_CP029373.1	19526	20107	-	WP_011795643.1	WP_011795643.1		alpha/beta hydrolase		69631927	APS58_RS00085	582	193	
gene	protein_coding	GCF_001593665.2	Primary Assembly	chromosome		NZ_CP029373.1	20348	21037	-						69631928	APS58_RS00090	690		old_locus_tag=APS58_0018
CDS	with_protein	GCF_001593665.2	Primary Assembly	chromosome		NZ_CP029373.1	20348	21037	-	WP_228194011.1	WP_228194011.1		hypothetical protein		69631928	APS58_RS00090	690	229	
gene	protein_coding	GCF_001593665.2	Primary Assembly	chromosome		NZ_CP029373.1	21264	22199	-						69631929	APS58_RS00095	936		old_locus_tag=APS58_0019
CDS	with_protein	GCF_001593665.2	Primary Assembly	chromosome		NZ_CP029373.1	21264	22199	-	WP_011795641.1	WP_011795641.1		LysR family transcriptional regulator		69631929	APS58_RS00095	936	311	
gene	protein_coding	GCF_001593665.2	Primary Assembly	chromosome		NZ_CP029373.1	22338	22979	+						69631930	APS58_RS00100	642		old_locus_tag=APS58_0020
CDS	with_protein	GCF_001593665.2	Primary Assembly	chromosome		NZ_CP029373.1	22338	22979	+	WP_011795640.1	WP_011795640.1		FMN-dependent NADH-azoreductase		69631930	APS58_RS00100	642	213	
gene	protein_coding	GCF_001593665.2	Primary Assembly	chromosome		NZ_CP029373.1	23032	23586	-						69631931	APS58_RS00105	555		old_locus_tag=APS58_0021
CDS	with_protein	GCF_001593665.2	Primary Assembly	chromosome		NZ_CP029373.1	23032	23586	-	WP_011795639.1	WP_011795639.1		NAD(P)H-dependent oxidoreductase		69631931	APS58_RS00105	555	184	
gene	protein_coding	GCF_001593665.2	Primary Assembly	chromosome		NZ_CP029373.1	23712	24509	-						69631932	APS58_RS00110	798		old_locus_tag=APS58_0022
CDS	with_protein	GCF_001593665.2	Primary Assembly	chromosome		NZ_CP029373.1	23712	24509	-	WP_041827419.1	WP_041827419.1		MetQ/NlpA family ABC transporter substrate-binding protein		69631932	APS58_RS00110	798	265	
gene	protein_coding	GCF_001593665.2	Primary Assembly	chromosome		NZ_CP029373.1	24632	26182	-						69631933	APS58_RS00115	1551		old_locus_tag=APS58_0023
CDS	with_protein	GCF_001593665.2	Primary Assembly	chromosome		NZ_CP029373.1	24632	26182	-	WP_232521692.1	WP_232521692.1		methyl-accepting chemotaxis protein		69631933	APS58_RS00115	1551	516	
gene	protein_coding	GCF_001593665.2	Primary Assembly	chromosome		NZ_CP029373.1	26389	27054	-						69631934	APS58_RS00120	666		old_locus_tag=APS58_0024
CDS	with_protein	GCF_001593665.2	Primary Assembly	chromosome		NZ_CP029373.1	26389	27054	-	WP_011795636.1	WP_011795636.1		ABC transporter permease		69631934	APS58_RS00120	666	221	
gene	protein_coding	GCF_001593665.2	Primary Assembly	chromosome		NZ_CP029373.1	27059	28117	-						69631935	APS58_RS00125	1059		old_locus_tag=APS58_0025
CDS	with_protein	GCF_001593665.2	Primary Assembly	chromosome		NZ_CP029373.1	27059	28117	-	WP_011795635.1	WP_011795635.1		methionine ABC transporter ATP-binding protein		69631935	APS58_RS00125	1059	352	
gene	protein_coding	GCF_001593665.2	Primary Assembly	chromosome		NZ_CP029373.1	28423	30489	-						69631936	APS58_RS00130	2067		old_locus_tag=APS58_0026
