# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	169	1590	+					dnaA	34238396	ACAV_RS00010	1422		old_locus_tag=Acav_0001
CDS	with_protein	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	169	1590	+	WP_013592517.1	WP_013592517.1		chromosomal replication initiator protein DnaA	dnaA	34238396	ACAV_RS00010	1422	473	
gene	protein_coding	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	1750	2868	+					dnaN	34237430	ACAV_RS00015	1119		old_locus_tag=Acav_0002
CDS	with_protein	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	1750	2868	+	WP_013592518.1	WP_013592518.1		DNA polymerase III subunit beta	dnaN	34237430	ACAV_RS00015	1119	372	
gene	protein_coding	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	2942	5575	+					gyrB	34239369	ACAV_RS00020	2634		old_locus_tag=Acav_0003
CDS	with_protein	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	2942	5575	+	WP_013592519.1	WP_013592519.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB	34239369	ACAV_RS00020	2634	877	
gene	protein_coding	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	5738	6361	+						34237028	ACAV_RS00025	624		old_locus_tag=Acav_0004
CDS	with_protein	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	5738	6361	+	WP_174270265.1	WP_174270265.1		restriction endonuclease subunit S		34237028	ACAV_RS00025	624	207	
gene	protein_coding	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	6354	7805	+						34235479	ACAV_RS00030	1452		old_locus_tag=Acav_0005
CDS	with_protein	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	6354	7805	+	WP_013592521.1	WP_013592521.1		N-6 DNA methylase		34235479	ACAV_RS00030	1452	483	
gene	protein_coding	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	7946	8776	+						43402202	ACAV_RS24395	831		old_locus_tag=Acav_0006
CDS	with_protein	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	7946	8776	+	WP_013592522.1	WP_013592522.1		Abi family protein		43402202	ACAV_RS24395	831	276	
gene	protein_coding	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	8802	10424	+						34238279	ACAV_RS00040	1623		old_locus_tag=Acav_0007
CDS	with_protein	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	8802	10424	+	WP_013592523.1	WP_013592523.1		type I restriction-modification system subunit M		34238279	ACAV_RS00040	1623	540	
gene	protein_coding	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	10421	11737	+						34235534	ACAV_RS23765	1317		old_locus_tag=Acav_0008
CDS	with_protein	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	10421	11737	+	WP_013592524.1	WP_013592524.1		restriction endonuclease subunit S		34235534	ACAV_RS23765	1317	438	
gene	protein_coding	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	11744	12670	+						34238896	ACAV_RS00055	927		old_locus_tag=Acav_0009
CDS	with_protein	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	11744	12670	+	WP_013592525.1	WP_013592525.1		OST-HTH/LOTUS domain-containing protein		34238896	ACAV_RS00055	927	308	
gene	protein_coding	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	12708	16004	+						34237248	ACAV_RS00060	3297		old_locus_tag=Acav_0010
CDS	with_protein	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	12708	16004	+	WP_013592526.1	WP_013592526.1		type I restriction endonuclease		34237248	ACAV_RS00060	3297	1098	
gene	protein_coding	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	16008	16718	+						34237828	ACAV_RS00065	711		old_locus_tag=Acav_0011
CDS	with_protein	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	16008	16718	+	WP_013592527.1	WP_013592527.1		M48 family metallopeptidase		34237828	ACAV_RS00065	711	236	
gene	protein_coding	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	16888	19005	-						34238914	ACAV_RS00070	2118		old_locus_tag=Acav_0012
CDS	with_protein	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	16888	19005	-	WP_013592528.1	WP_013592528.1		DUF4357 domain-containing protein		34238914	ACAV_RS00070	2118	705	
gene	protein_coding	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	19128	20786	-					rtcR	34239552	ACAV_RS00075	1659		old_locus_tag=Acav_0013
CDS	with_protein	GCF_000176855.2	Primary Assembly	chromosome		NC_015138.1	19128	20786	-	WP_013592529.1	WP_013592529.1		RNA repair transcriptional activator RtcR	rtcR	34239552	ACAV_RS00075	1659	552	
