# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	4679892	891	+							H9L24_RS00005	990		old_locus_tag=H9L24_00005
CDS	with_protein	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	4679892	891	+	WP_187736449.1	WP_187736449.1		DUF4747 family protein			H9L24_RS00005	990	329	
gene	protein_coding	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	1139	1549	+							H9L24_RS00010	411		old_locus_tag=H9L24_00010
CDS	with_protein	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	1139	1549	+	WP_187736450.1	WP_187736450.1		hypothetical protein			H9L24_RS00010	411	136	
gene	protein_coding	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	1629	2132	+							H9L24_RS00015	504		old_locus_tag=H9L24_00015
CDS	with_protein	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	1629	2132	+	WP_187736451.1	WP_187736451.1		very short patch repair endonuclease			H9L24_RS00015	504	167	
gene	protein_coding	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	2148	2585	-							H9L24_RS00020	438		old_locus_tag=H9L24_00020
CDS	with_protein	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	2148	2585	-	WP_187736452.1	WP_187736452.1		hypothetical protein			H9L24_RS00020	438	145	
gene	protein_coding	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	2587	3330	-							H9L24_RS00025	744		old_locus_tag=H9L24_00025
CDS	with_protein	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	2587	3330	-	WP_187736453.1	WP_187736453.1		hypothetical protein			H9L24_RS00025	744	247	
gene	protein_coding	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	3442	4560	-							H9L24_RS00030	1119		old_locus_tag=H9L24_00030
CDS	with_protein	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	3442	4560	-	WP_187736454.1	WP_187736454.1		hypothetical protein			H9L24_RS00030	1119	372	
gene	protein_coding	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	4523	6154	-							H9L24_RS00035	1632		old_locus_tag=H9L24_00035
CDS	with_protein	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	4523	6154	-	WP_246483526.1	WP_246483526.1		DNA cytosine methyltransferase			H9L24_RS00035	1632	543	
gene	protein_coding	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	6210	7250	-							H9L24_RS00040	1041		old_locus_tag=H9L24_00040
CDS	with_protein	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	6210	7250	-	WP_246483527.1	WP_246483527.1		phage late control D family protein			H9L24_RS00040	1041	346	
gene	protein_coding	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	7232	7675	-							H9L24_RS00045	444		old_locus_tag=H9L24_00045
CDS	with_protein	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	7232	7675	-	WP_187736455.1	WP_187736455.1		phage tail protein			H9L24_RS00045	444	147	
gene	protein_coding	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	7687	10227	-							H9L24_RS00050	2541		old_locus_tag=H9L24_00050
CDS	with_protein	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	7687	10227	-	WP_187736456.1	WP_187736456.1		phage tail tape measure protein			H9L24_RS00050	2541	846	
gene	protein_coding	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	10258	10422	-							H9L24_RS00055	165		old_locus_tag=H9L24_00055
CDS	with_protein	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	10258	10422	-	WP_187736457.1	WP_187736457.1		hypothetical protein			H9L24_RS00055	165	54	
gene	protein_coding	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	10463	10579	-							H9L24_RS00060	117		old_locus_tag=H9L24_00060
CDS	with_protein	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	10463	10579	-	WP_187736458.1	WP_187736458.1		GpE family phage tail protein			H9L24_RS00060	117	38	
gene	protein_coding	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	10588	10944	-							H9L24_RS00065	357		old_locus_tag=H9L24_00065
CDS	with_protein	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	10588	10944	-	WP_187736459.1	WP_187736459.1		phage tail assembly protein			H9L24_RS00065	357	118	
gene	protein_coding	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	11013	11522	-							H9L24_RS00070	510		old_locus_tag=H9L24_00070
CDS	with_protein	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	11013	11522	-	WP_187736460.1	WP_187736460.1		phage major tail tube protein			H9L24_RS00070	510	169	
gene	protein_coding	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	11562	12758	-							H9L24_RS00075	1197		old_locus_tag=H9L24_00075
CDS	with_protein	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	11562	12758	-	WP_187736461.1	WP_187736461.1		phage tail sheath protein			H9L24_RS00075	1197	398	
gene	protein_coding	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	12793	13035	-							H9L24_RS00080	243		old_locus_tag=H9L24_00080
CDS	with_protein	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	12793	13035	-	WP_187736462.1	WP_187736462.1		pseudouridine synthase			H9L24_RS00080	243	80	
gene	protein_coding	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	13032	13700	-							H9L24_RS00085	669		old_locus_tag=H9L24_00085
CDS	with_protein	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	13032	13700	-	WP_187736463.1	WP_187736463.1		hypothetical protein			H9L24_RS00085	669	222	
gene	protein_coding	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	13704	14414	-							H9L24_RS00090	711		old_locus_tag=H9L24_00090
CDS	with_protein	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	13704	14414	-	WP_187736464.1	WP_187736464.1		hypothetical protein			H9L24_RS00090	711	236	
gene	protein_coding	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	14415	15077	-							H9L24_RS00095	663		old_locus_tag=H9L24_00095
CDS	with_protein	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	14415	15077	-	WP_246483528.1	WP_246483528.1		hypothetical protein			H9L24_RS00095	663	220	
gene	protein_coding	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	15089	17338	-							H9L24_RS00100	2250		old_locus_tag=H9L24_00100
CDS	with_protein	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	15089	17338	-	WP_187736465.1	WP_187736465.1		hypothetical protein			H9L24_RS00100	2250	749	
gene	protein_coding	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	17344	18555	-							H9L24_RS00105	1212		old_locus_tag=H9L24_00105
CDS	with_protein	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	17344	18555	-	WP_187736466.1	WP_187736466.1		phage tail protein			H9L24_RS00105	1212	403	
gene	protein_coding	GCF_014489595.1	Primary Assembly	chromosome		NZ_CP060790.1	18548	19489	-							H9L24_RS00110	942		old_locus_tag=H9L24_00110
