# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	1	1416	+					dnaA		CBP33_RS00005	1416		old_locus_tag=CBP33_00005
CDS	with_protein	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	1	1416	+	WP_086910850.1	WP_086910850.1		chromosomal replication initiator protein DnaA	dnaA		CBP33_RS00005	1416	471	
gene	protein_coding	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	1544	2662	+					dnaN		CBP33_RS00010	1119		old_locus_tag=CBP33_00010
CDS	with_protein	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	1544	2662	+	WP_086910851.1	WP_086910851.1		DNA polymerase III subunit beta	dnaN		CBP33_RS00010	1119	372	
gene	protein_coding	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	2788	5403	+					gyrB		CBP33_RS00015	2616		old_locus_tag=CBP33_00015
CDS	with_protein	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	2788	5403	+	WP_086910852.1	WP_086910852.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB		CBP33_RS00015	2616	871	
gene	protein_coding	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	5557	6333	-							CBP33_RS00020	777		old_locus_tag=CBP33_00020
CDS	with_protein	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	5557	6333	-	WP_086910853.1	WP_086910853.1		HNH endonuclease			CBP33_RS00020	777	258	
gene	protein_coding	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	6424	6810	-							CBP33_RS00025	387		old_locus_tag=CBP33_00025
CDS	with_protein	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	6424	6810	-	WP_162290781.1	WP_162290781.1		hypothetical protein			CBP33_RS00025	387	128	
gene	protein_coding	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	7086	7487	+							CBP33_RS00030	402		old_locus_tag=CBP33_00030
CDS	with_protein	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	7086	7487	+	WP_086910855.1	WP_086910855.1		YkgJ family cysteine cluster protein			CBP33_RS00030	402	133	
gene	protein_coding	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	7635	7943	-							CBP33_RS00035	309		old_locus_tag=CBP33_00035
CDS	with_protein	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	7635	7943	-	WP_086913833.1	WP_086913833.1		hypothetical protein			CBP33_RS00035	309	102	
gene	protein_coding	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	8112	10289	+					dinG		CBP33_RS00040	2178		old_locus_tag=CBP33_00040
CDS	with_protein	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	8112	10289	+	WP_086910856.1	WP_086910856.1		ATP-dependent DNA helicase DinG	dinG		CBP33_RS00040	2178	725	
gene	protein_coding	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	10355	10714	+							CBP33_RS00045	360		old_locus_tag=CBP33_00045
CDS	with_protein	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	10355	10714	+	WP_086910857.1	WP_086910857.1		zinc ribbon domain-containing protein YjdM			CBP33_RS00045	360	119	
gene	protein_coding	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	10907	11344	+							CBP33_RS00050	438		old_locus_tag=CBP33_00050
CDS	with_protein	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	10907	11344	+	WP_086913834.1	WP_086913834.1		CopG family transcriptional regulator			CBP33_RS00050	438	145	
gene	protein_coding	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	11538	12833	+							CBP33_RS00055	1296		old_locus_tag=CBP33_00055
CDS	with_protein	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	11538	12833	+	WP_086910858.1	WP_086910858.1		PHB depolymerase family esterase			CBP33_RS00055	1296	431	
gene	protein_coding	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	12934	13548	+							CBP33_RS00060	615		old_locus_tag=CBP33_00060
CDS	with_protein	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	12934	13548	+	WP_086910859.1	WP_086910859.1		3'-5' exonuclease			CBP33_RS00060	615	204	
gene	protein_coding	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	13690	14271	+							CBP33_RS00065	582		old_locus_tag=CBP33_00065
CDS	with_protein	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	13690	14271	+	WP_086910860.1	WP_086910860.1		NnrU family protein			CBP33_RS00065	582	193	
gene	protein_coding	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	14441	14938	+							CBP33_RS00070	498		old_locus_tag=CBP33_00070
CDS	with_protein	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	14441	14938	+	WP_086910861.1	WP_086910861.1		C40 family peptidase			CBP33_RS00070	498	165	
gene	protein_coding	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	15071	16177	+							CBP33_RS00075	1107		old_locus_tag=CBP33_00075
CDS	with_protein	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	15071	16177	+	WP_086910862.1	WP_086910862.1		3-deoxy-7-phosphoheptulonate synthase			CBP33_RS00075	1107	368	
gene	protein_coding	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	16429	20970	+							CBP33_RS00080	4542		old_locus_tag=CBP33_00080
CDS	with_protein	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	16429	20970	+	WP_086913835.1	WP_086913835.1		EAL domain-containing protein			CBP33_RS00080	4542	1513	
gene	protein_coding	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	21439	21840	-							CBP33_RS00085	402		old_locus_tag=CBP33_00085
CDS	with_protein	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	21439	21840	-	WP_086913836.1	WP_086913836.1		YkvA family protein			CBP33_RS00085	402	133	
gene	protein_coding	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	22286	22858	-							CBP33_RS00090	573		old_locus_tag=CBP33_00090
CDS	with_protein	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	22286	22858	-	WP_086910863.1	WP_086910863.1		Spy/CpxP family protein refolding chaperone			CBP33_RS00090	573	190	
gene	protein_coding	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	23171	24238	+							CBP33_RS00095	1068		old_locus_tag=CBP33_00095
CDS	with_protein	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	23171	24238	+	WP_086913837.1	WP_086913837.1		recombination-associated protein RdgC			CBP33_RS00095	1068	355	
gene	protein_coding	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	24272	25000	-							CBP33_RS00100	729		old_locus_tag=CBP33_00100
CDS	with_protein	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	24272	25000	-	WP_086910864.1	WP_086910864.1		gamma-glutamylcyclotransferase			CBP33_RS00100	729	242	
gene	protein_coding	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	25002	25250	-							CBP33_RS19385	249		
CDS	with_protein	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	25002	25250	-	WP_236748607.1	WP_236748607.1		hypothetical protein			CBP33_RS19385	249	82	
gene	pseudogene	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	25587	25790	-							CBP33_RS19395	204		partial;pseudo
CDS	without_protein	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	25587	25790	-				pirin family protein			CBP33_RS19395	204		partial;pseudo
gene	protein_coding	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	26094	27260	-							CBP33_RS00110	1167		old_locus_tag=CBP33_00110
CDS	with_protein	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	26094	27260	-	WP_086910866.1	WP_086910866.1		acyl-CoA dehydrogenase family protein			CBP33_RS00110	1167	388	
gene	protein_coding	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	27341	28528	-							CBP33_RS00115	1188		old_locus_tag=CBP33_00115
CDS	with_protein	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	27341	28528	-	WP_086910867.1	WP_086910867.1		acetyl-CoA C-acyltransferase family protein			CBP33_RS00115	1188	395	
gene	protein_coding	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	28566	29354	-							CBP33_RS00120	789		old_locus_tag=CBP33_00120
CDS	with_protein	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	28566	29354	-	WP_086910868.1	WP_086910868.1		enoyl-CoA hydratase-related protein			CBP33_RS00120	789	262	
gene	protein_coding	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	29423	31243	-							CBP33_RS00125	1821		old_locus_tag=CBP33_00125
CDS	with_protein	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	29423	31243	-	WP_086913838.1	WP_086913838.1		AMP-binding protein			CBP33_RS00125	1821	606	
gene	protein_coding	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	31249	32082	-							CBP33_RS00130	834		old_locus_tag=CBP33_00130
CDS	with_protein	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	31249	32082	-	WP_086910869.1	WP_086910869.1		ABC transporter ATP-binding protein			CBP33_RS00130	834	277	
gene	protein_coding	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	32096	33283	-							CBP33_RS00135	1188		old_locus_tag=CBP33_00135
CDS	with_protein	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	32096	33283	-	WP_086910870.1	WP_086910870.1		ABC transporter substrate-binding protein			CBP33_RS00135	1188	395	
gene	protein_coding	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	33335	34372	-							CBP33_RS00140	1038		old_locus_tag=CBP33_00140
CDS	with_protein	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	33335	34372	-	WP_086910871.1	WP_086910871.1		branched-chain amino acid ABC transporter permease			CBP33_RS00140	1038	345	
gene	protein_coding	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	34372	35250	-							CBP33_RS00145	879		old_locus_tag=CBP33_00145
CDS	with_protein	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	34372	35250	-	WP_204246679.1	WP_204246679.1		branched-chain amino acid ABC transporter permease			CBP33_RS00145	879	292	
gene	protein_coding	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	35250	36116	-							CBP33_RS00150	867		old_locus_tag=CBP33_00150
CDS	with_protein	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	35250	36116	-	WP_086910873.1	WP_086910873.1		ABC transporter ATP-binding protein			CBP33_RS00150	867	288	
gene	protein_coding	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	36243	36980	+							CBP33_RS00155	738		old_locus_tag=CBP33_00155
CDS	with_protein	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	36243	36980	+	WP_086910874.1	WP_086910874.1		TetR family transcriptional regulator			CBP33_RS00155	738	245	
gene	protein_coding	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	37052	37510	-					cueR		CBP33_RS00160	459		old_locus_tag=CBP33_00160
CDS	with_protein	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	37052	37510	-	WP_086910875.1	WP_086910875.1		Cu(I)-responsive transcriptional regulator	cueR		CBP33_RS00160	459	152	
gene	protein_coding	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	37507	37704	-							CBP33_RS00165	198		old_locus_tag=CBP33_00165
CDS	with_protein	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	37507	37704	-	WP_086910876.1	WP_086910876.1		cation transporter			CBP33_RS00165	198	65	
gene	protein_coding	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	37856	40093	+							CBP33_RS00170	2238		old_locus_tag=CBP33_00170
CDS	with_protein	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	37856	40093	+	WP_086910877.1	WP_086910877.1		heavy metal translocating P-type ATPase			CBP33_RS00170	2238	745	
gene	protein_coding	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	40212	41870	+							CBP33_RS00175	1659		old_locus_tag=CBP33_00175
CDS	with_protein	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	40212	41870	+	WP_086910878.1	WP_086910878.1		methyl-accepting chemotaxis protein			CBP33_RS00175	1659	552	
gene	protein_coding	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	42139	43239	-							CBP33_RS00180	1101		old_locus_tag=CBP33_00180
CDS	with_protein	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	42139	43239	-	WP_086910879.1	WP_086910879.1		alkene reductase			CBP33_RS00180	1101	366	
gene	protein_coding	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	43512	44774	+							CBP33_RS00185	1263		old_locus_tag=CBP33_00185
CDS	with_protein	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	43512	44774	+	WP_086910880.1	WP_086910880.1		YbfB/YjiJ family MFS transporter			CBP33_RS00185	1263	420	
gene	protein_coding	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	44864	45121	-							CBP33_RS00190	258		old_locus_tag=CBP33_00190
CDS	with_protein	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	44864	45121	-	WP_086913839.1	WP_086913839.1		YkgJ family cysteine cluster protein			CBP33_RS00190	258	85	
gene	protein_coding	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	45192	45785	-							CBP33_RS00195	594		old_locus_tag=CBP33_00195
CDS	with_protein	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	45192	45785	-	WP_086913840.1	WP_086913840.1		NAD(P)H-dependent oxidoreductase			CBP33_RS00195	594	197	
gene	protein_coding	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	46093	48102	+					mnmG		CBP33_RS00200	2010		old_locus_tag=CBP33_00200
CDS	with_protein	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	46093	48102	+	WP_086910881.1	WP_086910881.1		tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG	mnmG		CBP33_RS00200	2010	669	
gene	protein_coding	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	48099	48782	+					rsmG		CBP33_RS00205	684		old_locus_tag=CBP33_00205
CDS	with_protein	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	48099	48782	+	WP_086910882.1	WP_086910882.1		16S rRNA (guanine(527)-N(7))-methyltransferase RsmG	rsmG		CBP33_RS00205	684	227	
gene	protein_coding	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	48870	49484	+							CBP33_RS00210	615		old_locus_tag=CBP33_00210
CDS	with_protein	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	48870	49484	+	WP_086910883.1	WP_086910883.1		LysE family translocator			CBP33_RS00210	615	204	
gene	protein_coding	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	49509	50321	+							CBP33_RS00215	813		old_locus_tag=CBP33_00215
CDS	with_protein	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	49509	50321	+	WP_086910884.1	WP_086910884.1		AAA family ATPase			CBP33_RS00215	813	270	
gene	protein_coding	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	50356	50895	+							CBP33_RS00220	540		old_locus_tag=CBP33_00220
CDS	with_protein	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	50356	50895	+	WP_086910885.1	WP_086910885.1		alpha/beta fold hydrolase			CBP33_RS00220	540	179	
gene	protein_coding	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	50901	51824	+							CBP33_RS00225	924		old_locus_tag=CBP33_00225
CDS	with_protein	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	50901	51824	+	WP_086910886.1	WP_086910886.1		ParB/RepB/Spo0J family partition protein			CBP33_RS00225	924	307	
gene	protein_coding	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	51853	52599	+							CBP33_RS00230	747		old_locus_tag=CBP33_00230
CDS	with_protein	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	51853	52599	+	WP_086910887.1	WP_086910887.1		methyltransferase type 12			CBP33_RS00230	747	248	
gene	protein_coding	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	52783	53823	+							CBP33_RS00235	1041		old_locus_tag=CBP33_00235
CDS	with_protein	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	52783	53823	+	WP_086910888.1	WP_086910888.1		peptidoglycan-binding protein			CBP33_RS00235	1041	346	
gene	protein_coding	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	53949	54569	-							CBP33_RS00240	621		old_locus_tag=CBP33_00240
CDS	with_protein	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	53949	54569	-	WP_086913841.1	WP_086913841.1		flavin reductase family protein			CBP33_RS00240	621	206	
gene	protein_coding	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	54724	55752	-							CBP33_RS00245	1029		old_locus_tag=CBP33_00245
CDS	with_protein	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	54724	55752	-	WP_086910889.1	WP_086910889.1		IS30 family transposase			CBP33_RS00245	1029	342	
gene	protein_coding	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	55855	56751	-							CBP33_RS00250	897		old_locus_tag=CBP33_00250
CDS	with_protein	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	55855	56751	-	WP_086910890.1	WP_086910890.1		helix-turn-helix transcriptional regulator			CBP33_RS00250	897	298	
gene	protein_coding	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	56817	58079	+							CBP33_RS00255	1263		old_locus_tag=CBP33_00255
CDS	with_protein	GCF_002157165.1	Primary Assembly	chromosome		NZ_CP021359.1	56817	58079	+	WP_086910891.1	WP_086910891.1		MFS transporter			CBP33_RS00255	1263	420	
