# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_013363755.1	Primary Assembly	chromosome		NZ_CP054840.1	101	1504	-					dnaA		HUK68_RS00005	1404		old_locus_tag=HUK68_00005
CDS	with_protein	GCF_013363755.1	Primary Assembly	chromosome		NZ_CP054840.1	101	1504	-	WP_175502335.1	WP_175502335.1		chromosomal replication initiator protein DnaA	dnaA		HUK68_RS00005	1404	467	
gene	protein_coding	GCF_013363755.1	Primary Assembly	chromosome		NZ_CP054840.1	1800	1934	+					rpmH		HUK68_RS00010	135		old_locus_tag=HUK68_00010
CDS	with_protein	GCF_013363755.1	Primary Assembly	chromosome		NZ_CP054840.1	1800	1934	+	WP_012207856.1	WP_012207856.1		50S ribosomal protein L34	rpmH		HUK68_RS00010	135	44	
gene	protein_coding	GCF_013363755.1	Primary Assembly	chromosome		NZ_CP054840.1	1996	2466	+							HUK68_RS00015	471		old_locus_tag=HUK68_00015
CDS	with_protein	GCF_013363755.1	Primary Assembly	chromosome		NZ_CP054840.1	1996	2466	+	WP_175502336.1	WP_175502336.1		ribonuclease P protein component			HUK68_RS00015	471	156	
gene	protein_coding	GCF_013363755.1	Primary Assembly	chromosome		NZ_CP054840.1	2463	2750	+					yidD		HUK68_RS00020	288		old_locus_tag=HUK68_00020
CDS	with_protein	GCF_013363755.1	Primary Assembly	chromosome		NZ_CP054840.1	2463	2750	+	WP_175502337.1	WP_175502337.1		membrane protein insertion efficiency factor YidD	yidD		HUK68_RS00020	288	95	
gene	protein_coding	GCF_013363755.1	Primary Assembly	chromosome		NZ_CP054840.1	2747	4435	+					yidC		HUK68_RS00025	1689		old_locus_tag=HUK68_00025
CDS	with_protein	GCF_013363755.1	Primary Assembly	chromosome		NZ_CP054840.1	2747	4435	+	WP_175502338.1	WP_175502338.1		membrane protein insertase YidC	yidC		HUK68_RS00025	1689	562	
gene	protein_coding	GCF_013363755.1	Primary Assembly	chromosome		NZ_CP054840.1	4709	6112	+					mnmE		HUK68_RS00030	1404		old_locus_tag=HUK68_00030
CDS	with_protein	GCF_013363755.1	Primary Assembly	chromosome		NZ_CP054840.1	4709	6112	+	WP_175502339.1	WP_175502339.1		tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE	mnmE		HUK68_RS00030	1404	467	
gene	protein_coding	GCF_013363755.1	Primary Assembly	chromosome		NZ_CP054840.1	6128	7075	-							HUK68_RS00035	948		old_locus_tag=HUK68_00035
CDS	with_protein	GCF_013363755.1	Primary Assembly	chromosome		NZ_CP054840.1	6128	7075	-	WP_175502340.1	WP_175502340.1		LysR family transcriptional regulator			HUK68_RS00035	948	315	
gene	protein_coding	GCF_013363755.1	Primary Assembly	chromosome		NZ_CP054840.1	7185	8162	+							HUK68_RS00040	978		old_locus_tag=HUK68_00040
CDS	with_protein	GCF_013363755.1	Primary Assembly	chromosome		NZ_CP054840.1	7185	8162	+	WP_175502341.1	WP_175502341.1		tripartite tricarboxylate transporter substrate binding protein			HUK68_RS00040	978	325	
gene	protein_coding	GCF_013363755.1	Primary Assembly	chromosome		NZ_CP054840.1	8166	9218	+							HUK68_RS00045	1053		old_locus_tag=HUK68_00045
CDS	with_protein	GCF_013363755.1	Primary Assembly	chromosome		NZ_CP054840.1	8166	9218	+	WP_175502342.1	WP_175502342.1		4-hydroxythreonine-4-phosphate dehydrogenase PdxA			HUK68_RS00045	1053	350	
gene	protein_coding	GCF_013363755.1	Primary Assembly	chromosome		NZ_CP054840.1	9265	10437	+							HUK68_RS00050	1173		old_locus_tag=HUK68_00050
CDS	with_protein	GCF_013363755.1	Primary Assembly	chromosome		NZ_CP054840.1	9265	10437	+	WP_175502343.1	WP_175502343.1		L-rhamnonate dehydratase			HUK68_RS00050	1173	390	
gene	protein_coding	GCF_013363755.1	Primary Assembly	chromosome		NZ_CP054840.1	10449	11378	+							HUK68_RS00055	930		old_locus_tag=HUK68_00055
CDS	with_protein	GCF_013363755.1	Primary Assembly	chromosome		NZ_CP054840.1	10449	11378	+	WP_175502344.1	WP_175502344.1		dihydrodipicolinate synthase family protein			HUK68_RS00055	930	309	
gene	protein_coding	GCF_013363755.1	Primary Assembly	chromosome		NZ_CP054840.1	11545	13491	-							HUK68_RS00060	1947		old_locus_tag=HUK68_00060
CDS	with_protein	GCF_013363755.1	Primary Assembly	chromosome		NZ_CP054840.1	11545	13491	-	WP_175502345.1	WP_175502345.1		alpha/beta fold hydrolase			HUK68_RS00060	1947	648	
